packet_length,src_port,dst_port,protocol,timestamp
54,57079,53,6,1741910960.6288192
66,57081,8886,6,1741910960.6298208
66,57082,8886,6,1741910960.6308136
66,57083,8886,6,1741910960.6334045
66,57085,8886,6,1741910960.6345503
66,57086,8886,6,1741910960.635588
66,57084,8886,6,1741910960.6377378
54,63697,443,6,1741910960.6505914
231,443,63697,6,1741910960.828651
54,63697,443,6,1741910960.883896
179,58050,1900,17,1741910961.0906675
54,63593,443,6,1741910961.341248
60,443,63593,6,1741910961.341248
54,63593,443,6,1741910961.341248
54,63593,443,6,1741910961.341248
66,57071,8886,6,1741910961.534065
66,57075,8886,6,1741910961.5350614
66,57076,8886,6,1741910961.5360563
66,57074,8886,6,1741910961.5370548
66,57068,8886,6,1741910961.5380547
66,57070,8886,6,1741910961.5380547
66,57073,8886,6,1741910961.5400474
66,57069,8886,6,1741910961.541047
66,57072,8886,6,1741910961.542042
66,57077,8886,6,1741910961.5504005
66,57078,8886,6,1741910961.551398
66,57081,8886,6,1741910961.6180127
66,57082,8886,6,1741910961.6180127
66,57083,8886,6,1741910961.6337655
66,57086,8886,6,1741910961.6347628
66,57085,8886,6,1741910961.6357582
66,57084,8886,6,1741910961.6493664
87,5353,5353,17,1741910961.8049295
93,443,56964,6,1741910961.8348298
124,56964,443,6,1741910961.838485
54,443,56964,6,1741910961.8409016
167,49969,1900,17,1741910962.1660395
418,63589,445,6,1741910963.0600092
298,445,63589,6,1741910963.0600092
146,63589,445,6,1741910963.0600092
182,445,63589,6,1741910963.0600092
54,63589,445,6,1741910963.1159203
78,62502,53,17,1741910963.5144901
137,53,62502,17,1741910963.5144901
66,57068,8886,6,1741910963.536869
66,57072,8886,6,1741910963.5378377
66,57071,8886,6,1741910963.538838
66,57070,8886,6,1741910963.5398357
66,57076,8886,6,1741910963.5408356
66,57069,8886,6,1741910963.5418298
66,57074,8886,6,1741910963.5418298
66,57073,8886,6,1741910963.5438251
66,57075,8886,6,1741910963.5439572
66,57077,8886,6,1741910963.5519211
66,57078,8886,6,1741910963.552923
66,57081,8886,6,1741910963.6183176
66,57082,8886,6,1741910963.6183176
66,57083,8886,6,1741910963.63482
66,57086,8886,6,1741910963.6358216
66,57085,8886,6,1741910963.6514227
66,57084,8886,6,1741910963.652412
179,58050,1900,17,1741910964.1533413
167,59819,1900,17,1741910964.5376198
66,57087,443,6,1741910964.5591471
66,443,57087,6,1741910964.5611684
54,57087,443,6,1741910964.56217
571,57087,443,6,1741910964.5631676
54,443,57087,6,1741910964.5651627
153,443,57087,6,1741910965.0210726
450,57087,443,6,1741910965.0210726
54,443,57087,6,1741910965.0210726
87,5353,5353,17,1741910965.1802182
1514,443,57087,6,1741910965.259957
1514,443,57087,6,1741910965.2609532
1514,443,57087,6,1741910965.2629473
1514,443,57087,6,1741910965.2639477
624,443,57087,6,1741910965.2659426
78,57087,443,6,1741910965.2669668
54,57087,443,6,1741910965.2679343
54,443,57087,6,1741910965.2689314
60,443,57087,6,1741910965.2699282
54,57087,443,6,1741910965.2718973
83,58620,53,17,1741910965.79668
227,53,58620,17,1741910965.8126574
66,57088,80,6,1741910965.8199885
66,80,57088,6,1741910965.820986
54,57088,80,6,1741910965.8229818
165,57088,80,6,1741910965.8251417
54,80,57088,6,1741910965.826139
301,80,57088,6,1741910965.9028993
60,80,57088,6,1741910965.9039023
54,57088,80,6,1741910965.9073446
54,57088,80,6,1741910965.9084592
54,57088,80,6,1741910965.909468
54,80,57088,6,1741910965.9115527
167,51035,1900,17,1741910966.5112946
55,63667,443,6,1741910967.059107
66,443,63667,6,1741910967.0601385
179,58050,1900,17,1741910967.091364
66,57070,8886,6,1741910967.5386863
66,57068,8886,6,1741910967.5397673
66,57072,8886,6,1741910967.5397673
66,57073,8886,6,1741910967.5397673
66,57069,8886,6,1741910967.545111
66,57076,8886,6,1741910967.5461524
66,57071,8886,6,1741910967.5475655
66,57074,8886,6,1741910967.5487916
66,57075,8886,6,1741910967.5535548
66,57077,8886,6,1741910967.5547683
66,57078,8886,6,1741910967.5570533
66,57082,8886,6,1741910967.6217587
66,57081,8886,6,1741910967.6217587
66,57083,8886,6,1741910967.6384919
66,57086,8886,6,1741910967.6395373
66,57085,8886,6,1741910967.6520498
66,57084,8886,6,1741910967.653081
87,5353,5353,17,1741910968.0136843
212,54199,6646,17,1741910968.0871093
167,53515,1900,17,1741910968.3552167
103,5353,5353,17,1741910968.3697398
78,62502,53,17,1741910968.5193381
66,57089,443,6,1741910968.536954
78,62502,53,17,1741910968.5552466
137,53,62502,17,1741910968.7885957
66,57090,443,6,1741910968.8037944
66,443,57090,6,1741910968.8078308
54,57090,443,6,1741910968.8100994
571,57090,443,6,1741910968.8111198
54,443,57090,6,1741910968.8225517
153,443,57090,6,1741910969.2905738
450,57090,443,6,1741910969.2905738
54,443,57090,6,1741910969.2905738
55,57010,443,6,1741910969.4521036
66,443,57010,6,1741910969.4553943
1514,443,57090,6,1741910969.5399778
1514,443,57090,6,1741910969.5413115
1514,443,57090,6,1741910969.5435765
1514,443,57090,6,1741910969.5446622
624,443,57090,6,1741910969.5458033
78,57090,443,6,1741910969.5469
54,57090,443,6,1741910969.5492537
66,57089,443,6,1741910969.55234
54,443,57090,6,1741910969.5536983
60,443,57090,6,1741910969.5551686
54,57090,443,6,1741910969.5573509
66,443,57089,6,1741910969.5583713
54,57089,443,6,1741910969.5593674
571,57089,443,6,1741910969.5616279
